created_at,tier,model_id,input_tokens,output_tokens,session_title
2026-01-31 10:11:48.422388+00,orchestrator,claude-sonnet-4-20250514,4928,229,AI Agent Development Strategy
2026-01-31 10:11:51.539703+00,orchestrator,claude-sonnet-4-20250514,5179,56,AI Agent Development Strategy
2026-01-31 10:11:53.660943+00,orchestrator,claude-sonnet-4-20250514,5296,36,AI Agent Development Strategy
2026-01-31 10:12:01.880087+00,orchestrator,claude-sonnet-4-20250514,5766,236,AI Agent Development Strategy
2026-01-31 10:13:06.032412+00,orchestrator,claude-sonnet-4-20250514,5219,242,AI Agent Development Strategy
2026-01-31 10:13:11.395827+00,orchestrator,claude-sonnet-4-20250514,5570,264,AI Agent Development Strategy
2026-01-31 10:13:16.83051+00,orchestrator,claude-sonnet-4-20250514,5922,253,AI Agent Development Strategy
2026-01-31 10:13:19.604569+00,orchestrator,claude-sonnet-4-20250514,6268,90,AI Agent Development Strategy
2026-01-31 10:13:22.595649+00,orchestrator,claude-sonnet-4-20250514,6423,82,AI Agent Development Strategy
2026-01-31 10:14:03.600354+00,orchestrator,claude-sonnet-4-20250514,6571,95,AI Agent Development Strategy
2026-01-31 10:14:06.39608+00,orchestrator,claude-sonnet-4-20250514,6735,82,AI Agent Development Strategy
2026-01-31 10:14:08.959483+00,orchestrator,claude-sonnet-4-20250514,6887,78,AI Agent Development Strategy
2026-01-31 10:15:03.132925+00,orchestrator,claude-sonnet-4-20250514,7094,71,AI Agent Development Strategy
2026-01-31 10:15:06.091305+00,orchestrator,claude-sonnet-4-20250514,7262,92,AI Agent Development Strategy
2026-01-31 10:15:50.623566+00,orchestrator,claude-sonnet-4-20250514,5498,180,AI Agent Development Strategy
2026-01-31 10:15:57.697279+00,orchestrator,claude-sonnet-4-20250514,5700,229,AI Agent Development Strategy
2026-01-31 10:16:49.938079+00,orchestrator,claude-sonnet-4-20250514,5775,359,AI Agent Development Strategy
2026-01-31 10:16:57.506789+00,orchestrator,claude-sonnet-4-20250514,6198,342,AI Agent Development Strategy
2026-01-31 10:16:59.698414+00,orchestrator,claude-sonnet-4-20250514,6633,84,AI Agent Development Strategy
2026-01-31 10:17:03.570638+00,orchestrator,claude-sonnet-4-20250514,6785,131,AI Agent Development Strategy
2026-01-31 10:17:06.315896+00,orchestrator,claude-sonnet-4-20250514,6984,84,AI Agent Development Strategy
2026-01-31 10:17:08.785956+00,orchestrator,claude-sonnet-4-20250514,7136,84,AI Agent Development Strategy
2026-01-31 10:18:05.34345+00,orchestrator,claude-sonnet-4-20250514,7292,96,AI Agent Development Strategy
2026-01-31 10:18:08.68573+00,orchestrator,claude-sonnet-4-20250514,7434,53,AI Agent Development Strategy
2026-01-31 10:18:10.827382+00,orchestrator,claude-sonnet-4-20250514,7584,57,AI Agent Development Strategy
2026-01-31 10:18:12.773921+00,orchestrator,claude-sonnet-4-20250514,8302,55,AI Agent Development Strategy
2026-01-31 10:19:15.888045+00,orchestrator,claude-sonnet-4-20250514,6139,432,AI Agent Development Strategy
2026-01-31 10:20:19.763816+00,orchestrator,claude-sonnet-4-20250514,6587,712,AI Agent Development Strategy
2026-01-31 10:20:51.188737+00,orchestrator,claude-sonnet-4-20250514,7316,233,AI Agent Development Strategy
2026-01-31 10:20:56.619753+00,orchestrator,claude-sonnet-4-20250514,7612,241,AI Agent Development Strategy
2026-01-31 10:20:59.907907+00,orchestrator,claude-sonnet-4-20250514,7944,84,AI Agent Development Strategy
2026-01-31 10:21:04.211841+00,orchestrator,claude-sonnet-4-20250514,8096,175,AI Agent Development Strategy
2026-01-31 10:22:08.132274+00,orchestrator,claude-sonnet-4-20250514,8335,84,AI Agent Development Strategy
2026-01-31 10:22:11.39644+00,orchestrator,claude-sonnet-4-20250514,8491,105,AI Agent Development Strategy
2026-01-31 10:22:19.85302+00,orchestrator,claude-sonnet-4-20250514,8641,479,AI Agent Development Strategy
