created_at,session_id,tier,model_id,input_tokens,output_tokens,total_tokens
2026-01-31 05:23:08.472381+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,6113,52,6165
2026-01-31 05:23:10.340092+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,6374,55,6429
2026-01-31 05:23:12.301179+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,9223,56,9279
2026-01-31 05:23:20.843348+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,16586,189,16775
2026-01-31 05:24:36.349178+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,6318,185,6503
2026-01-31 05:24:38.846892+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,6533,52,6585
2026-01-31 05:24:40.506007+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,6793,53,6846
2026-01-31 05:24:42.997531+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,6985,56,7041
2026-01-31 05:24:58.548902+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,14348,507,14855
2026-01-31 05:26:13.544364+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,6852,181,7033
2026-01-31 05:26:22.893078+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,7061,380,7441
2026-01-31 05:26:59.944419+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,7244,206,7450
2026-01-31 05:27:02.335577+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,7480,57,7537
2026-01-31 05:27:09.826858+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,8541,230,8771
2026-01-31 05:28:26.336884+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,7564,180,7744
2026-01-31 05:28:28.798351+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,7774,59,7833
2026-01-31 05:28:30.989013+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,7872,53,7925
2026-01-31 05:28:33.396606+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,8096,60,8156
2026-01-31 05:28:46.906817+00,b2380c22-0320-4c54-b3c4-d258532f882e,orchestrator,claude-sonnet-4-20250514,8492,625,9117
2026-01-31 05:45:48.793202+00,1f228143-f3b2-49f1-9bcd-e3c2f36ecab6,orchestrator,claude-sonnet-4-20250514,5022,79,5101
2026-01-31 05:45:50.900951+00,1f228143-f3b2-49f1-9bcd-e3c2f36ecab6,orchestrator,claude-sonnet-4-20250514,5309,55,5364
2026-01-31 05:45:53.85397+00,1f228143-f3b2-49f1-9bcd-e3c2f36ecab6,orchestrator,claude-sonnet-4-20250514,8158,53,8211
2026-01-31 05:45:55.914709+00,1f228143-f3b2-49f1-9bcd-e3c2f36ecab6,orchestrator,claude-sonnet-4-20250514,8382,56,8438
2026-01-31 05:46:06.844709+00,1f228143-f3b2-49f1-9bcd-e3c2f36ecab6,orchestrator,claude-sonnet-4-20250514,15745,311,16056
2026-01-31 06:17:31.779479+00,2b07a9de-f646-439f-bb3f-42b770359c2b,orchestrator,claude-sonnet-4-20250514,5021,73,5094
2026-01-31 06:17:33.748095+00,2b07a9de-f646-439f-bb3f-42b770359c2b,orchestrator,claude-sonnet-4-20250514,5302,53,5355
2026-01-31 06:17:35.667252+00,2b07a9de-f646-439f-bb3f-42b770359c2b,orchestrator,claude-sonnet-4-20250514,5505,53,5558
2026-01-31 06:17:37.808482+00,2b07a9de-f646-439f-bb3f-42b770359c2b,orchestrator,claude-sonnet-4-20250514,5697,61,5758
2026-01-31 06:17:39.959187+00,2b07a9de-f646-439f-bb3f-42b770359c2b,orchestrator,claude-sonnet-4-20250514,11253,57,11310
2026-01-31 06:17:41.90355+00,2b07a9de-f646-439f-bb3f-42b770359c2b,orchestrator,claude-sonnet-4-20250514,12023,55,12078
2026-01-31 07:25:17.189962+00,b63636cb-de6e-40f4-bcf3-82c84e524c35,orchestrator,claude-sonnet-4-20250514,5018,68,5086
2026-01-31 07:25:19.382442+00,b63636cb-de6e-40f4-bcf3-82c84e524c35,orchestrator,claude-sonnet-4-20250514,5294,57,5351
2026-01-31 07:25:21.617174+00,b63636cb-de6e-40f4-bcf3-82c84e524c35,orchestrator,claude-sonnet-4-20250514,6064,55,6119
2026-01-31 07:25:23.755093+00,b63636cb-de6e-40f4-bcf3-82c84e524c35,orchestrator,claude-sonnet-4-20250514,8913,53,8966
2026-01-31 07:25:27.507866+00,b63636cb-de6e-40f4-bcf3-82c84e524c35,orchestrator,claude-sonnet-4-20250514,9137,56,9193
2026-01-31 07:25:37.283065+00,b63636cb-de6e-40f4-bcf3-82c84e524c35,orchestrator,claude-sonnet-4-20250514,16500,303,16803
